华东地区|江苏|连云港|http://www.dianping.com/lianyuangang|连云港花果山酒店|/shop/19179825|花果山|步行至蟠桃盛会生态园6分钟|豪华型&房间奢华&服务好&交通方便&很干净&位置好&早餐很棒&房间大&设施新&很安静|￥468|sml-str50
华东地区|江苏|连云港|http://www.dianping.com/lianyuangang|连云港世纪缘国际酒店|/shop/5372195|海连路|步行至苍梧绿园13分钟|高档型&很干净&服务好&交通方便&位置好&房间大|￥348|sml-str40
华东地区|江苏|连云港|http://www.dianping.com/lianyuangang|国信云台大酒店|/shop/3704491|苍梧路|步行至苍梧绿园4分钟|五星级酒店&服务好&很干净&交通方便&早餐很棒&位置好&很安静&房间大|￥438|sml-str40
华东地区|江苏|连云港|http://www.dianping.com/lianyuangang|连云港嘉臣国际大酒店|/shop/14900882|东海县中心城区||豪华型&很干净&服务好&交通方便&位置好&睡眠舒适&很安静|￥469|sml-str40
华东地区|江苏|连云港|http://www.dianping.com/lianyuangang|连云港金苑大酒店|/shop/5530380|赣榆县其他||四星级酒店&房间大&早餐很棒|￥268|sml-str45
华东地区|江苏|连云港|http://www.dianping.com/lianyuangang|赣榆国际大酒店|/shop/6096885|赣榆县其他|步行至海州湾旅游度假区3分钟|高档型&房间大&早餐很棒&服务好&很干净&位置好&交通方便&性价比高|￥318|sml-str40
华东地区|江苏|连云港|http://www.dianping.com/lianyuangang|连云港明珠大酒店|/shop/5170511|南极路|步行至海滨浴场8分钟|高档型&很干净&早餐很棒&交通方便&服务好&位置好|￥168|sml-str40
华东地区|江苏|连云港|http://www.dianping.com/lianyuangang|蔚蓝海岸国际大酒店|/shop/5170526|连云区||四星级酒店&风景不错&位置好&很干净&交通方便&服务好&很安静|￥312|sml-str45
华东地区|江苏|连云港|http://www.dianping.com/lianyuangang|连云港华美达广场酒店|/shop/5170527|连云区||豪华型&游泳池赞&很干净&服务好&早餐很棒&房间大&睡眠舒适&性价比高&交通方便&位置好|￥416|sml-str40
华东地区|江苏|连云港|http://www.dianping.com/lianyuangang|四季爱途酒店公寓|/shop/18524595|连云区||高档型&很干净&家的感觉|￥119|sml-str45
华东地区|江苏|连云港|http://www.dianping.com/lianyuangang|连云港东圆国际大酒店|/shop/13754477|灌云县其他||四星级酒店&服务好|￥259|sml-str45
华东地区|江苏|连云港|http://www.dianping.com/lianyuangang|连云港明珠开君国际酒店|/shop/13880253|连云区||豪华型|￥371|sml-str40
华东地区|江苏|连云港|http://www.dianping.com/lianyuangang|伊山宾馆|/shop/5182424|灌云县其他|步行至大伊山风景区11分钟|舒适型|￥79|sml-str35
华东地区|江苏|连云港|http://www.dianping.com/lianyuangang|中山宾馆|/shop/5173334|连云区||高档型&很干净&交通方便|￥120|sml-str40
华东地区|江苏|连云港|http://www.dianping.com/lianyuangang|连云港和安湖国际大酒店|/shop/22305109|赣榆县其他||豪华型|￥348|sml-str40
华东地区|江苏|连云港|http://www.dianping.com/lianyuangang|财苑宾馆|/shop/17203826|灌南县其他||经济型|￥118|sml-str35
华东地区|江苏|连云港|http://www.dianping.com/lianyuangang|连岛安逸度假中心|/shop/13695463|连岛|步行至连岛景区3分钟|经济型||sml-str35
华东地区|江苏|连云港|http://www.dianping.com/lianyuangang|蓝色夏日宾馆|/shop/8952776|连岛|步行至连岛景区1分钟|经济型|￥69|sml-str35
华东地区|江苏|连云港|http://www.dianping.com/lianyuangang|碧海国际酒店|/shop/19747685|赣榆县其他||三星级酒店|￥218|sml-str20
华东地区|江苏|连云港|http://www.dianping.com/lianyuangang|连云港东海名郡大酒店|/shop/19747612|海州区||高档型|￥208|sml-str30
华东地区|江苏|连云港|http://www.dianping.com/lianyuangang|远洋宾馆|/shop/4723069|连云区||舒适型|￥198|sml-str30
华东地区|江苏|连云港|http://www.dianping.com/lianyuangang|连岛海之恋宾馆|/shop/13760361|连岛|步行至连岛景区3分钟|经济型&老板人很好|￥109|sml-str30
华东地区|江苏|连云港|http://www.dianping.com/lianyuangang|金沙湾假日中心|/shop/18882669|连岛|步行至连岛景区4分钟|经济型||sml-str35
华东地区|江苏|连云港|http://www.dianping.com/lianyuangang|连云港东盛四季大酒店|/shop/18167950|连云区||高档型&位置好&很干净&房间大|￥191|sml-str20
华东地区|江苏|连云港|http://www.dianping.com/lianyuangang|爱情海假日中心|/shop/6096886|连岛|步行至连岛景区5分钟|经济型||sml-str35
华东地区|江苏|连云港|http://www.dianping.com/lianyuangang|铭豪凤凰精品酒店|/shop/24886767|朝阳路||舒适型||sml-str35
华东地区|江苏|连云港|http://www.dianping.com/lianyuangang|清和园宾馆|/shop/22569969|灌云县其他||经济型|￥80|sml-str35
华东地区|江苏|连云港|http://www.dianping.com/lianyuangang|丽景海湾假日中心|/shop/19747688|连岛||经济型||sml-str20
华东地区|江苏|连云港|http://www.dianping.com/lianyuangang|连岛海天一色海景酒店|/shop/6072524|连岛|步行至连岛景区5分钟|经济型|￥80|sml-str20
华东地区|江苏|连云港|http://www.dianping.com/lianyuangang|海中央精品酒店|/shop/6215030|连岛|步行至连岛景区5分钟|经济型||sml-str35
华东地区|江苏|连云港|http://www.dianping.com/lianyuangang|连岛看海宾馆|/shop/14198150|连云区|步行至连岛景区4分钟|经济型||sml-str30
华东地区|江苏|连云港|http://www.dianping.com/lianyuangang|连云港海梦情缘假日中心|/shop/13760362|连岛|步行至连岛景区5分钟|经济型||sml-str30
华东地区|江苏|连云港|http://www.dianping.com/lianyuangang|海誓山盟酒店|/shop/13687344|连岛|步行至连岛景区3分钟|经济型||sml-str30
华东地区|江苏|连云港|http://www.dianping.com/lianyuangang|连岛海景公寓|/shop/4181103|连岛|步行至连岛景区5分钟|经济型||sml-str20
华东地区|江苏|连云港|http://www.dianping.com/lianyuangang|九龙国际大酒店|/shop/2604853|南极路|步行至海滨浴场8分钟|高档型&很干净&服务好&交通方便&位置好&早餐很棒&房间大&性价比高|￥218|sml-str40
华东地区|江苏|连云港|http://www.dianping.com/lianyuangang|山海国际酒店|/shop/11866370|朝阳路|步行至云台山16分钟|高档型|￥285|sml-str35
